StringKey,Category,Location,Condition,FormatArgs,Korean,English,Japanese
Common_Confirm,공통,팝업 버튼,,,확인,Confirm,確認
Common_Cancel,공통,팝업 버튼,,,취소,Cancel,キャンセル
Common_Close,공통,팝업 버튼,,,닫기,Close,閉じる
Common_Yes,공통,팝업 버튼,,,예,Yes,はい
Common_No,공통,팝업 버튼,,,아니오,No,いいえ
Common_Back,공통,네비게이션,,,뒤로,Back,戻る
Menu_NewRun,메뉴,메인 메뉴,,,새 런 시작,New Run,新しいラン
Menu_Continue,메뉴,메인 메뉴,저장 데이터 있을 때,,이어하기,Continue,続きから
Menu_Settings,메뉴,메인 메뉴,,,설정,Settings,設定
Menu_Exit,메뉴,메인 메뉴,,,종료,Exit,終了
Hud_HpLabel,HUD,플레이어 HP 바,,,HP,HP,HP
Hud_FormSwapHint,HUD,폼 교체 안내 툴팁,,,Q로 폼 교체,[Q] Swap Form,Qでフォーム切替
Draft_Title,드래프트,스킬 드래프트 패널 헤더,,,스킬 선택,Choose a Skill,スキルを選択
Draft_Reroll,드래프트,리롤 버튼,,,다시 뽑기,Reroll,引き直し
Draft_Skip,드래프트,스킵 버튼,,,건너뛰기,Skip,スキップ
Draft_ReplaceSlotTitle,드래프트,슬롯 교체 모달,Active 슬롯 가득 찼을 때,,교체할 스킬을 선택하세요,Choose a skill to replace,交換するスキルを選択
Result_RunClear,결과,결과 패널,런 클리어 시,,런 클리어!,Run Cleared!,ランクリア！
Result_Death,결과,결과 패널,사망 시,,사망,Death,デス
Result_PlayTimeFormat,결과,플레이 타임 라벨,,{0}: 플레이 시간 (mm:ss),플레이 시간: {0},Play Time: {0},プレイ時間: {0}
Result_KillCountFormat,결과,처치 수 라벨,,{0}: 처치 수,처치한 적: {0},Enemies Killed: {0},撃破数: {0}
Result_ShardsGainedFormat,결과,획득 심연 조각,,{0}: 획득량,획득한 심연 조각: {0},Abyss Shards Gained: {0},獲得したアビス片: {0}
Result_Restart,결과,재시작 버튼,,,재시작,Restart,リスタート
Result_MainMenu,결과,메인 메뉴 버튼,,,메인 메뉴,Main Menu,メインメニュー
Settings_MasterVolume,설정,마스터 볼륨 라벨,,,마스터 볼륨,Master Volume,マスター音量
Settings_BgmVolume,설정,BGM 볼륨 라벨,,,배경음,BGM Volume,BGM音量
Settings_SfxVolume,설정,SFX 볼륨 라벨,,,효과음,SFX Volume,SFX音量
Settings_Language,설정,언어 선택 라벨,,,언어,Language,言語
Form_DarkBlade,폼,폼 이름,,,다크 블레이드,Dark Blade,ダークブレード
Form_VoidArcher,폼,폼 이름,,,보이드 아처,Void Archer,ボイドアーチャー
Npc_Guide_Name,대화,로비-안내자,,,안내자,Guide,案内人
Npc_Guide_Prompt,대화,로비-안내자 프롬프트,,,안내자와 대화 (G),Talk to Guide (G),案内人と話す (G)
Npc_Guide_Line1,대화,로비-안내자,,,심연의 입구다. 여기서 눈을 뜬 이가 자네가 처음은 아닐세.,This is the threshold of the abyss. You are not the first to wake here.,深淵の入り口だ。ここで目を覚ました者は君が最初ではない。
Npc_Guide_Line2,대화,로비-안내자,,,저 아래는 끝을 알 수 없는 어둠. 허나 자네라면 다를지도 모르지.,Below lies endless darkness. Yet perhaps you will be different.,その下には果てなき闇。だが君なら違うかもしれぬ。
Npc_Guide_Line3,대화,로비-안내자,,,준비가 되면 포털로 향하게. 행운을 비네.,"When you are ready, head to the portal. Good luck.",準備ができたらポータルへ。幸運を祈る。
Portal_Prompt,대화,로비-포털 프롬프트,,,던전 입장 (G),Enter Dungeon (G),ダンジョン入場 (G)
Npc_Service_Prompt,대화,로비-정비 NPC 프롬프트,,,장비 정비 (G),Manage Forms (G),装備整備 (G)
Npc_Altar_Prompt,대화,로비-제단 프롬프트,,,심연의 제단 (G),Altar of Abyss (G),深淵の祭壇 (G)
Altar_Title,메타,제단 패널 제목,,,심연의 제단,Altar of Abyss,深淵の祭壇
Altar_ShardsFormat,메타,제단 잔액,,{0}: 잔액,심연 조각: {0},Abyss Shards: {0},深淵の欠片: {0}
Altar_LevelFormat,메타,제단 레벨,,{0}: 현재 {1}: 최대,Lv {0}/{1},Lv {0}/{1},Lv {0}/{1}
Altar_CostFormat,메타,제단 비용,,{0}: 비용,비용 {0},Cost {0},コスト {0}
Altar_Maxed,메타,제단 최대치,,,최대,MAX,最大
Altar_Purchase,메타,제단 강화 버튼,,,강화,Upgrade,強化
Upgrade_MaxHp_Name,메타,업그레이드 이름,,,생명력 강화,Vitality,生命力強化
Upgrade_MaxHp_Desc,메타,업그레이드 설명,,,레벨당 최대 체력 +20,+20 Max HP per level,レベルごとに最大HP +20
Upgrade_Attack_Name,메타,업그레이드 이름,,,공격력 강화,Power,攻撃力強化
Upgrade_Attack_Desc,메타,업그레이드 설명,,,레벨당 공격력 +8%,+8% Attack per level,レベルごとに攻撃力 +8%
Npc_Chronicler_Name,대화,로비-기록자 이름,,,기록자,Chronicler,記録者
Npc_Chronicler_Prompt,대화,로비-기록자 프롬프트,,,이야기 듣기 (G),Listen (G),話を聞く (G)
Story_Ch1_Line1,서사,챕터1-1,,,또 하나의 낙오자인가. 심연은 언제나 새로운 손님을 기다려 왔지.,Another castaway. The Abyss has always awaited new guests.,また一人の落伍者か。深淵は常に新たな客を待っていた。
Story_Ch1_Line2,서사,챕터1-2,,,"수많은 이가 이 아래로 내려갔고, 돌아온 자는 없었다. 허나 자네에게선... 낯선 냄새가 나는군.","Many descended below, and none returned. Yet from you... I sense something unfamiliar.",幾多の者が下へ降り、戻った者はいない。だが君からは…見知らぬ気配がする。
Story_Ch2_Line1,서사,챕터2-1,,,돌아왔군. 첫 추락에서 삼켜지지 않은 자는 드물다.,You have returned. Few survive being swallowed by the first fall.,戻ってきたか。最初の落下で呑まれぬ者は稀だ。
Story_Ch2_Line2,서사,챕터2-2,,,"명심하게. 심연은 살아 숨쉬며, 지금 자네를 시험하고 있어.","Remember this. The Abyss breathes, and it is testing you now.",心に刻め。深淵は息づき、今も君を試している。
Story_Ch3_Line1,서사,챕터3-1,,,수호자를 쓰러뜨렸다고? 그 아래엔 더 오래된 것들이 잠들어 있네.,You felled the Keeper? Below it slumber things far older.,守護者を倒しただと？その下にはさらに古きものが眠っている。
Story_Ch3_Line2,서사,챕터3-2,,,자네가 찾는 답은 가장 깊은 곳에 있어. 허나 그 대가를 치를 각오는 되었는가.,The answer you seek lies at the deepest point. But are you prepared to pay its price?,君が求める答えは最も深き場所にある。だが、その代償を払う覚悟はあるか。
Story_Idle_Line1,서사,기록자 대기,,,지금은 더 들려줄 이야기가 없군. 더 깊이 내려가 보게.,I have no more tales for now. Descend deeper.,今は語る話がない。さらに深く降りてみよ。
Npc_Engraver_Name,대화,로비-각인사 이름,,,각인사,,
Story_Engraver_DarkBlade_Line1,서사,각인사-암흑 검사,,,이 날에 새긴 이름은 이레브다. 삼백 해 이어진 전쟁을 끝냈다고 적혀 있지. 몇 해였는지는 말이 갈린다.,,
Story_Engraver_DarkBlade_Line2,서사,각인사-암흑 검사,,,끝내는 법은 배웠고 그만두는 법은 못 배웠다. 이 줄만은 적은 이가 지었다고 밝혀 뒀지. 그이가 한 말이 아니다.,,
Story_Engraver_DarkBlade_Line3,서사,각인사-암흑 검사,,,앉아 있었고 손잡이는 바깥을 향했다. 본 사람이 그렇게 적었지. 놓아 줄 사람은 밖에서 온다 — 그건 내 셈이다.,,
